Statistics;Machine Learning;Deep Learning;R Language;Python Language;NLP;Data Engineering
Statical models;linear regression;neural network;r;python ;nlp;aws
Statical modeling;logistic regression;keras;ggplot;flask;natural language processing;
probabilty;k means;theano;shiny;django;topic modeling;amazon redshift
normal distribution;random forest;face detection;cran;pandas;Ida;s3
factor analysis;svm;gpu;;numpy;word2vec;aws emr
markov chain;pca;yolo;;os;Isi;hive
monte carlo;decision trees;cuda;;matplotlib;spacy;sql
;svd;tensorflow;;scipy;gensim;hadoop
;ensembles models;lstm;;bokeh;nltk;
;boltzman machine;gan;;statsmodel;nmf;
;naive bayes;opencv;;;cbow;
;supporor machinet vect;;;;bert;
